"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153486","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","22908","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 5:29:24 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153485","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","22908","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 5:26:59 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Windows Modules Installer service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153457","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","13756","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 3:35:01 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Windows Modules Installer service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153455","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","13756","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 3:34:46 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153451","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","5620","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 2:21:03 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153450","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","14488","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 2:18:27 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153449","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","14488","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 2:17:11 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153448","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","15772","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 2:13:30 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153445","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","20380","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 1:43:28 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153444","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","21764","nw48306.nwmissouri.edu","S-1-5-18","3/29/2023 1:39:40 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153379","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","2276","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 9:02:11 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153378","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","11840","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 9:00:01 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153375","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","21144","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 8:19:43 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153374","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","13872","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 8:17:26 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153373","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","19980","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 8:03:01 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153355","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","15208","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 7:58:01 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153340","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","11056","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 4:13:57 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153337","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","8872","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 4:11:43 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","153268","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","20628","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 1:42:58 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","153248","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","868","21676","nw48306.nwmissouri.edu","S-1-5-18","3/28/2023 12:40:42 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
